ключ,имя,вид,путь,этапы,домены,триггер,статус,создано,обновлено
MST-1,xlsx,skill,mastery/tools/addons/source/anthropics/skills/skills/xlsx/SKILL.md,любой,team;tracker,"чтение/создание/правка .xlsx: Гант, выгрузки трекера, отчёты для заказчика",активен,2026-08-20 02:40,2026-08-20 03:30
MST-2,docx,skill,mastery/tools/addons/source/anthropics/skills/skills/docx/SKILL.md,ревью;закрыт,любой,оформление документа заказчику в Word (диздок/протокол на передачу),активен,2026-08-20 02:40,2026-08-20 03:30
MST-3,pdf,skill,mastery/tools/addons/source/anthropics/skills/skills/pdf/SKILL.md,анализ,любой,извлечение данных из PDF или сборка PDF-отчёта,активен,2026-08-20 02:40,2026-08-20 03:30
MST-4,pptx,skill,mastery/tools/addons/source/anthropics/skills/skills/pptx/SKILL.md,ревью,любой,презентация для предъявления результатов заказчику,активен,2026-08-20 02:40,2026-08-20 03:30
MST-5,skill-creator,skill,mastery/tools/addons/source/anthropics/skills/skills/skill-creator/SKILL.md,закрыт,mastery,в work_journal.md есть кандидат 'скилл: да' и решено его оформить,активен,2026-08-20 02:40,2026-08-20 03:30
MST-6,code-review,plugin,mastery/tools/addons/source/anthropics/plugins/plugins/code-review/,ревью,любой,ревью MR в кодовом репозитории,активен,2026-08-20 02:40,2026-08-20 03:30
MST-7,pr-review-toolkit,plugin,mastery/tools/addons/source/anthropics/plugins/plugins/pr-review-toolkit/,ревью,любой,разбор большого MR по частям (диффы 500+ строк),активен,2026-08-20 02:40,2026-08-20 03:30
MST-8,mcp-builder,skill,mastery/tools/addons/source/anthropics/skills/skills/mcp-builder/SKILL.md,анализ;разработка,team,"интерфейсы доступа LLM к контексту (ручки, mcp, скиллы)",активен,2026-08-20 02:40,2026-08-20 03:30
MST-9,webapp-testing,skill,mastery/tools/addons/source/anthropics/skills/skills/webapp-testing/SKILL.md,тестирование,любой,живая приёмка веб-интерфейса в браузере,активен,2026-08-20 02:40,2026-08-20 03:30
MST-10,ralph-loop,plugin,mastery/tools/addons/source/anthropics/plugins/plugins/ralph-loop/,разработка,любой,массовый механический тираж по готовому шаблону (десятки однотипных файлов),активен,2026-08-20 02:40,2026-08-20 03:30
MST-11,xlsx_stdlib_parse,skill,mastery/tools/addons/by_team/xlsx_stdlib_parse/SKILL.md,анализ,team,xlsx без openpyxl: zipfile+ElementTree,активен,2026-08-20 02:40,2026-08-21 00:15
MST-12,lock_worktree_protocol,skill,mastery/tools/addons/by_team/lock_worktree_protocol/SKILL.md,любой,любой,параллельная работа нескольких агентов с контекстной директорией,активен,2026-08-20 02:40,2026-08-21 00:15
MST-14,llm_council,skill,mastery/tools/addons/by_team/llm_council/SKILL.md,анализ;ревью,mastery;team,совет из нескольких LLM с анонимным перекрёстным ревью и финальным синтезом: сверка вариантов решения перед крупным выбором,активен,2026-08-20 02:29,2026-08-21 00:15
MST-15,verifier_negative_control,skill,mastery/tools/addons/by_team/verifier_negative_control/SKILL.md,тестирование;ревью,любой,"написан скрипт/проверка, подтверждающая корректность артефакта: до доверия зелёному результату сломать вход намеренно и убедиться, что проверка падает; частый провал — regex вернул пустой список и сравнение [] == [] дало ложный OK",активен,2026-08-20 12:20,2026-08-21 00:15
MST-16,hash_function_choice,skill,mastery/tools/addons/by_team/hash_function_choice/SKILL.md,разработка;тестирование,любой,"строится хеш/контрольная сумма по многим колонкам: до тиража проверить на реальной ширине лимит аргументов функции (100 в PG), поведение на NULL (CONCAT_WS их ПРОПУСКАЕТ -> (NULL,x)==(x,NULL)) и различимость границ полей; безопасный дефолт — MD5(ROW(...)::TEXT)",активен,2026-08-20 13:10,2026-08-21 00:15
MST-17,enrichment_slots,skill,mastery/tools/addons/by_team/enrichment_slots/SKILL.md,анализ;разработка,любой,"часть объёма не продана/принадлежит чужому контуру: как разделить так, чтобы отключение было удалением папки, а не рефакторингом — слоты с описанной деградацией, односторонние ссылки, свои пространства нумерации, симметричная процедура подключить/отключить",активен,2026-08-20 23:20,2026-08-21 00:15
MST-18,domain_state_check,skill,mastery/tools/addons/by_team/domain_state_check/SKILL.md,любой,любой,"перед записью в существующий домен: структура и нумерация могли уйти вперёд, пока писался черновик. Проверять фактическое дерево, занятые номера развилок, схему трекера и git-статус — иначе документ фиксирует устаревшие допущения как факты",активен,2026-08-20 23:20,2026-08-21 00:15
MST-19,repo_split_code_context_data,skill,mastery/tools/addons/by_team/repo_split_code_context_data/SKILL.md,любой,любой,в проекте перепутаны исполняемое/контекст/данные; заведение новой утилиты или подпроекта; вопрос «где должен жить этот файл»,активен,2026-08-21 00:15,2026-08-21 00:15
MST-20,plan_tags_explain_json,skill,mastery/tools/addons/by_team/plan_tags_explain_json/SKILL.md,анализ;тестирование,любой,"анализ планов запросов PG/GP: аудит, поиск тормозов, детекторы анти-паттернов — читать EXPLAIN FORMAT JSON, не текст регулярками",активен,2026-08-21 00:15,2026-08-21 00:15
MST-21,csv_to_postgres_copy,skill,mastery/tools/addons/by_team/csv_to_postgres_copy/SKILL.md,разработка,любой,"загрузка CSV в Postgres без psycopg/зависимостей: psql COPY, экранирование text-формата, проверка злыми значениями",активен,2026-08-21 00:15,2026-08-21 00:15
MST-22,csv_json_cells_refactor,skill,mastery/tools/addons/by_team/csv_json_cells_refactor/SKILL.md,любой,mastery;tracker,в ячейках CSV-реестра появился JSON/списки/двусторонние связи; нечитаемые диффы реестра — разносить на рёбра+прозу,активен,2026-08-21 00:15,2026-08-21 00:15
MST-23,authoritative_field_check,skill,mastery/tools/addons/by_team/authoritative_field_check/SKILL.md,тестирование;ревью,любой,"написание/ревью тестов и гейтов: инвариант проверяется по авторитетному полю, не по производному кэшу",активен,2026-08-21 00:15,2026-08-21 00:15
MST-26,mermaid_from_data,skill,mastery/tools/addons/by_team/mermaid_from_data/SKILL.md,любой,любой,"показываешь структуру диаграммой: генерировать из данных, проверять рендером, экранировать подписи; ловушки kanban/sankey",активен,2026-08-21 00:39,2026-08-21 00:39
MST-29,dashboard_i18n_copy,skill,mastery/tools/addons/by_team/dashboard_i18n_copy/SKILL.md,разработка;тестирование,любой,выпуск BI-дашборда на втором языке или обновление уже выпущенной языковой копии; вопрос «дублировать ли датасет»,активен,2026-08-21 19:00,2026-08-21 19:00
