откуда,тип,куда
DEMO-1,входит в,PRJ-1
DEMO-2,входит в,DEMO-1
DEMO-3,блокирует,DEMO-1
DEMO-4,входит в,PRJ-1
PRJ-1,входит в,GOAL-1
MS-1,реализует,PRJ-1
PRJ-2,входит в,GOAL-3
INFRA-1,входит в,PRJ-2
INFRA-2,входит в,INFRA-1
INFRA-3,входит в,INFRA-1
INFRA-4,входит в,INFRA-12
INFRA-5,входит в,INFRA-12
INFRA-6,входит в,PRJ-2
INFRA-2,блокирует,INFRA-4
INFRA-7,входит в,INFRA-14
INFRA-5,блокирует,INFRA-7
INFRA-8,входит в,INFRA-13
INFRA-9,входит в,INFRA-13
INFRA-10,входит в,INFRA-14
INFRA-11,входит в,INFRA-14
INFRA-9,относится к,INFRA-8
INFRA-5,блокирует,INFRA-11
INFRA-12,входит в,PRJ-2
INFRA-13,входит в,PRJ-2
INFRA-14,входит в,PRJ-2
MS-2,реализует,PRJ-2
INFRA-9,блокирует,MS-2
INFRA-4,блокирует,MS-2
DEMO-3,входит в,PRJ-1
DEMO-5,входит в,PRJ-1
DEMO-1,блокирует,MS-1
INFRA-15,входит в,INFRA-12
